"BRK.B","CELG","DOW","EMR","HAL","MA","MRK","PEP","PM","SPG"
"88",1254700,1075000,423600,429700,289200,868700,506400,963200,875900,1882000
"89",1268200,968300,419100,449800,306300,824400,496400,980400,889500,1866700
"90",1253700,1064300,423400,429000,293600,869000,510700,961400,873900,1882100
"91",1266500,1081200,427900,429200,302400,879200,511900,959900,867700,1863200
"92",1292900,1177300,500500,468900,336900,951200,518700,986100,865700,1926900
"93",1268300,967400,418700,449400,305900,825500,496200,980200,889300,1860000
"94",1302200,1162400,485400,461200,334800,936500,523800,985200,873300,1953700
"95",1295200,1140700,474400,454300,329900,907600,514700,983600,868800,1928500
"96",1290400,1094500,464000,441600,324800,905900,512700,976700,881300,1873600
"97",1292700,1056200,457900,442300,317700,915900,516100,981100,897300,1867500
"98",1254200,1076500,423700,429600,288800,868400,507400,963300,875400,1882000
"99",1266300,1021000,433900,433800,301700,896300,507700,968000,887200,1847500
"100",1291800,1082000,452000,444700,319500,918600,519200,974000,890100,1856900
"101",1273100,1038300,432000,435400,307500,892200,518900,948000,874100,1857500
"102",1292400,1178300,500400,468500,337000,951000,518600,986300,865400,1928900
"103",1307700,1187100,500000,475800,346500,958000,529800,990300,873800,1930300
"104",1301500,1141000,474900,450600,330000,920400,524800,983000,874900,1924500
"105",1275200,1075900,439800,437800,304200,879400,512200,943200,860100,1846500
"106",1268700,972000,419100,449900,306200,824800,496300,981000,889000,1850500
"107",1254000,1071200,414200,424200,284400,852200,505800,942900,856400,1827100
"108",1296000,1141500,474300,453700,330100,907200,514800,983900,869000,1930700
"109",1254200,1064500,423900,429600,293500,869200,512100,962100,874300,1880600
"110",1267200,1022500,434000,433200,301800,897400,507800,968300,888600,1849600
"111",1261500,1009100,419500,445000,302900,852100,502900,965300,879300,1860400
"112",1292700,1179200,500200,468700,336800,950700,518700,986400,865200,1925700
"113",1257800,1033200,416900,423500,290200,843900,507600,953200,866400,1843300
"114",1290700,1094200,463100,441200,324200,905100,512400,977200,881700,1873600
"115",1291900,1060500,458100,442000,317200,915500,516600,980700,897500,1870000
"116",1292900,1180100,500800,468700,337400,950600,518800,986400,865400,1923600
"117",1273000,1036300,430900,434800,306400,891600,518200,949000,874900,1858600
"118",1256400,1034800,416400,423300,289700,843400,506700,952300,865000,1837300
"119",1292200,1062600,458000,441300,317000,915100,516300,980200,897800,1870500
"120",1273400,1037000,430700,435000,306800,891700,518400,948900,875100,1861300
"121",1270200,977600,419400,450200,306300,825400,497300,981700,889800,1848300
"122",1255100,1023200,433900,425900,309900,886800,506700,938400,864500,1827100
"123",1254200,1072000,414100,423700,285100,852600,505600,942100,854500,1827600
"124",1307800,1185800,499700,474600,345700,958200,529500,991200,874500,1931600
"125",1302600,1143500,474400,450400,329400,919900,524600,983000,873400,1926900
"126",1255700,1034200,416300,422600,289700,844000,506300,951800,864000,1834300
"127",1266900,1023900,434000,432600,301200,897300,508300,967100,887800,1851100
"128",1272800,1072900,438900,436400,303300,877900,511800,944600,861200,1848100
"129",1265100,1078300,426600,428600,299500,878300,512000,958200,867100,1862100
"130",1290600,1091500,462800,440800,324100,905500,511500,977500,881400,1873900
"131",1294800,1143500,474500,453200,330200,907600,514600,984200,869300,1931300
"132",1254700,1065000,424100,429600,292700,870200,512100,962700,875200,1877100
"133",1261000,999100,418500,444100,301800,850900,502600,965100,880300,1863600
"134",1271900,1072800,438400,436700,303200,877200,511800,945100,861700,1849000
"135",1257000,1025200,434000,426300,308700,887100,507200,938800,863800,1827700
"136",1273800,1034900,430700,434500,306500,890800,518700,948400,876000,1863400
"137",1254100,1073300,414800,424800,285200,854400,506000,943200,855000,1831900
"138",1270200,980000,419000,450500,306500,823000,497100,981900,890800,1839500
"139",1253600,1081100,424600,430700,290100,868100,508500,962600,876100,1875600
"140",1306700,1184900,498700,473400,345100,957800,529300,991300,874400,1934000
"141",1298900,1164300,484500,460500,335000,938000,522600,985400,873200,1955000
"142",1289700,1087400,463200,440700,324300,905200,511100,977000,880300,1873400
"143",1272300,1074400,437900,436400,301900,877800,512000,945300,862100,1849500
"144",1295300,1143600,474800,453300,330700,908400,514700,984200,869500,1929900
"145",1257900,1065600,424100,429600,292300,871100,512700,963000,876100,1873900
